ID vendeur;Date;Vendeur;ID avis;Note;Avis;ID commande;ID client
43;25/10/2020;Huck Occitania;398;3.57;"Pas de réponse de celui-ci concernant la demande de facture qui devrait être envoyée d'ailleurs sans avoir à le réclamer; c'est un minimum quand on achète pour le compte d'un club.";3561;969
43;25/10/2020;Huck Occitania;402;4.00;rien a redire;3058;485
53;18/02/2020;Innoquipe;27;4.00;Pas de souci;200;618
53;20/02/2020;Innoquipe;29;3.00;Emballage de livraison à revoir. Délai de livraison respecté;197;608
53;07/06/2020;Innoquipe;89;4.71;Transaction normale sans problème particulier;71;104
53;21/06/2020;Innoquipe;137;4.86;Très bien . Article correspondant à ce que je m attendais. Livraison rapide.;1421;2515
53;05/07/2020;Innoquipe;164;4.00;Produits commandés reçus en bon état, juste le délai un peu long !;1194;2379
53;17/07/2020;Innoquipe;198;5.00;Livraison rapide et produits conformes;1666;1211
53;29/09/2020;Innoquipe;314;4.50;BIEN;2800;714
53;03/10/2020;Innoquipe;323;4.43;En tant que Président de club je commande beaucoup. Dans l'ensemble je suis vraiment satisfait et je recommande. En revanche j'ai un point noir, c'est la livraison. Lors de ma commande il n'est pas possible de choisir directement un point relais, dommage quand on travaille c'est dur de savoir quand exactement on va être livré. J'avais noté de pouvoir m'appeler la veille afin de m'organiser pour la livraison et le livreur m'informe que cela n'est pas possible de tenir compte de mon souhait, du coup j'ai donné mon accord pour qu'il le laisse derrière le portail car j'en avais besoin pour le club mais quand il pleut c'est pas génial. Il m'informe aussi que pour le point relais c'est lorsque je reçois le message que je dois le dire mais là aussi quand le mail arrive dans les spam on ne le voit pas. Du coup c'est bête car on m'aurait appelé la veille j'aurais pu demander de suite un point relais et tout serait ok. Du coup oui je suis satisfait mais je reconnais réfléchir a peut être maintenant arrêter de commander sur le liste et directement dans un magasin pour plus de sécurité de réception du colis et pas être obligé de prendre des jours de congés pour attendre une livraison.;2959;1086
55;20/02/2020;Cress Sport;31;5.00;RAS;198;608
55;14/05/2020;Cress Sport;44;5.00;Malgré le confinement service client au top, bon déconfinement et reprise à tous !;897;1966
55;21/06/2020;Cress Sport;135;4.86;Très bien. Hyper rapide.;1422;2515
55;27/09/2020;Cress Sport;307;4.86;"bonjour, livraison rapide. Mais surpris de ne pas grouper les livraisons pour eviter plusieures frais de livraisons.
Sinon réception des produits conformes.";2982;3321
55;19/10/2020;Cress Sport;376;4.43;Ras;2843;3805
56;20/05/2020;Sodex International;51;5.00;Bonne;899;913
56;27/05/2020;Sodex International;55;5.00;X;941;2082
56;02/06/2020;Sodex International;78;3.93;"Le site propose un lien vers les conditions générales de vente; Ce lien ne s'ouvre pas donc le client n'a pas accès au conditions générales de vente.....avant achat!
Par contre on a accès aux conditions générales d'utilisation .....";970;2119
56;02/06/2020;Sodex International;80;4.71;très bien, rapidité de livraison;967;2113
56;03/06/2020;Sodex International;82;4.71;bonne;1007;779
56;17/06/2020;Sodex International;113;2.86;Pas d'informations et délai très long;946;2083
56;19/06/2020;Sodex International;120;5.00;Tout s'est bien passé. Satisfait.;934;2050
56;19/06/2020;Sodex International;127;4.00;Pas de souci;1231;1506
56;19/06/2020;Sodex International;129;4.00;Pas de souci;1207;1506
56;20/06/2020;Sodex International;131;5.00;conforme à la commande;1282;2438
56;24/06/2020;Sodex International;150;5.00;Pas de souci;1410;2502
56;03/07/2020;Sodex International;161;4.64;Première commande;1517;2631
56;11/07/2020;Sodex International;172;5.00;EXPERIENCE SATISFAISANTE    COMMANDE RECUE RAPIDEMENT CONFORME A LA DEMANDE;1602;2733
56;15/07/2020;Sodex International;182;5.00;Impeccable;1619;2726
56;05/08/2020;Sodex International;221;5.00;parfait;1778;1338
56;06/08/2020;Sodex International;225;3.86;Les trois premiers filets sont arrivés 3 jours après la commande, le dernier filet 15 jours après et les deux sangles encore plus tard. Un suivi de colis catastrophique pour les deux derniers cités;1733;2028
56;19/08/2020;Sodex International;233;3.79;Pas de problème j’aimerais juste être prévenue par téléphone (j’ai donné mon no) pour être présente lors de la livraison, le Club -house étant souvent fermé;1944;326
56;11/10/2020;Sodex International;343;3.79;BB;3059;485
56;14/10/2020;Sodex International;355;4.29;Le délai de livraison est un peu long.;3064;204
57;20/05/2020;SLS Distribution;49;4.71;Un bon suivi , et bonne écoute;916;2031
