ID;Debut;Fin;Statut;Produits HT;Livraison HT;Livraison TTC;Total HT;Total TVA;Total TTC;Comission HT;Comission TTC;Commandes remboursees TTC;Comissions remboursees TTC;Vendeur;Commandes
223;09-07-2020  13:48;29-07-2020  13:41;close;678.00;0.00;0.00;678.00;135.60000000000002;813.60;88.14;105.77;0;0;France Filets;QIZFCSBNV,MWIKEDJJC,QKRWLYEYD,FPIPMMVVY
222;02-07-2020  08:21;01-09-2020  12:33;close;1506.00;355.93;427.12;1861.93;372.5899999999999;2234.52;242.08;290.49;0;0;CLICK FOR TENNIS;SJFHJVESW,NAEFSJBXD,EOESHMRWC,ZDSBOGSRA,NTHQKWXZC,JPGGDFYNR,XYWFZWLNE,QFWCQNQNV,GPTTUGHTE,YIANQFMJD,JVZEXIDME,FYLGYDWED,CTQASVCDN
221;01-07-2020  15:43;15-07-2020  17:30;close;2669.82;41.60;49.90;2711.42;542.27;3253.69;422.98;422.98;0;0;Netsportique;YTKPPMZIR,DGYRXZHWM,EHEKHNALC,TURAPQLLO,VCUYHBOLE,QOWPIRTCN,JDVJEZDCI,UUKSEPXMP,UZHRFSLNZ,TERCCGYEO
220;01-07-2020  15:42;15-07-2020  17:30;close;607.74;123.00;147.60;730.74;146.14;876.88;87.68;105.23;0;0;Manutan Collectivités;YQGFLYASF,GYYRZALUL,BYOHYUYQU,HLXSRORAQ,QAWWQCRHO,LBVSXUQNI
219;01-07-2020  15:41;15-07-2020  17:30;close;1342.58;213.00;213.00;1555.58;268.52;1824.10;182.41;218.91;120.00;14.40;VW Sports;NXXVLSUSC,EWRBKRRJK,WSBPWQVYB,RKOPKSNLB,OUMAYXZCL,CEDQPFMTD,LRTWMLGVL,RJAKIWJLB,DOBROLQPI,EMPWKWAKA,NHUFGLLZP
218;01-07-2020  15:40;15-07-2020  17:30;close;42.00;25.00;30.00;67.00;13.400000000000006;80.40;8.04;9.65;0;0;CIDI Event;TYNMJDMUD
217;01-07-2020  15:38;15-07-2020  17:30;close;2361.20;0.00;0.00;2361.20;474.1300000000001;2835.33;283.56;340.28;0;0;LSC Maintenance;UBXFLTWKN,WTFDKXNIC,VIIKRZILN,VEXSAFWCO,YYQOFRDEC,YVVKRNRAZ,VJTQRYWPA,JGAGHRKPR,DSQTQMEEK,KXLVTHJHS,BCQALKVPO,VEAPVKPFW,VVGIZWVCV
216;01-07-2020  15:37;01-08-2020  16:36;close;41.75;11.45;13.74;53.20;10.64;63.84;6.38;7.66;0;0;Tupi caoutchouc;WHGQIDVMK
215;01-07-2020  15:36;15-07-2020  17:30;close;71.85;0.00;0.00;71.85;14.370000000000005;86.22;9.34;11.21;0;0;CMJN IMPRESSION;HLXSRORAQ
214;01-07-2020  15:35;15-07-2020  17:30;close;1359.69;60.00;72.00;1419.69;283.95000000000005;1703.64;170.38;204.44;0;0;Tennis Scorer;UZUQAOIFJ,FANZTSLBX,VZEZECKJH,AKJUSHCVQ,EAEORWIWW,LBVSXUQNI,ACJQWZDYJ,ECDBVYRZD
213;01-07-2020  15:35;15-07-2020  17:30;close;1802.08;27.40;32.88;1829.48;365.9000000000001;2195.38;201.25;241.49;0;0;SCFR Impex;RZGJXGCPX,ORFVOYKEI
212;01-07-2020  15:34;15-07-2020  17:30;close;80.42;0.00;0.00;80.42;16.08;96.50;9.65;11.58;0;0;SLS Distribution;LWSNMMNSB
211;01-07-2020  15:31;15-07-2020  17:30;close;2104.17;50.00;60.00;2154.17;430.8299999999999;2585.00;280.04;336.05;0;0;Innoquipe;GUIILPDSW,FRTYJBMMS,CIVUZDOQN,VDLVSJQIC,FHFBSXROE,FDQYDIBRE,SLVGCVJAA,QHRFZYVCV,YJNQVCEJO
210;01-07-2020  15:30;15-07-2020  17:30;close;2931.24;269.00;322.80;3200.24;640.0600000000004;3840.30;416.04;499.24;0;0;Huck Occitania;TTINZODQF,SPJCNCEFM,DIUSNPRQJ,ISSWCSYQN,MHFPGAMUS,CMVZISEZI,RJAKIWJLB,AKJUSHCVQ,QHRFZYVCV,RCFLEHJHO,NGPACUHZE,ZYIXNAAYS
209;01-07-2020  15:29;15-07-2020  17:30;close;141.00;25.00;30.00;166.00;33.19999999999999;199.20;23.24;27.89;0;0;Iteuil sports;UOZCEXRSR
